per capita income,median household income,median family income,population,number of households,state_nums
20637,36584,46669,27531,11019,3
18137,34855,43408,8573,3737,3
20636,41319,51790,43515,16950,3
20637,36584,46669,27531,11019,3
18754,35771,43373,15671,6048,3
20622,39420,47576,8648,3346,3
23170,39162,48388,96547,39881,3
23170,39162,48388,96547,39881,3
12529,25034,32986,10267,3491,3
18782,32517,42607,17147,7063,3
19116,32835,38275,20540,8069,3
19135,36766,43053,18063,6769,3
18377,32206,37440,11250,4325,3
23138,41393,52466,98398,37834,3
26715,54515,61706,227439,82150,3
15511,30873,34705,27914,9358,3
19046,34996,46489,22221,8233,3
23218,52582,60786,69266,25052,3
18509,31502,41121,15790,6814,3
19046,34996,46489,22221,8233,3
19021,31345,39469,9387,3873,3
21793,42487,51449,77767,29632,3
19087,28259,36902,7180,3070,3
15971,32239,42457,17227,6580,3
21334,35343,45499,41281,18155,3
18695,33694,42500,8948,3622,3
18975,32015,42354,25651,10733,3
17884,30038,37243,8211,3507,3
22160,38506,47585,37099,15086,3
17884,30038,37243,8211,3507,3
18701,38085,48100,17760,6818,3
18934,37448,42333,11111,4324,3
16538,26201,34451,11621,4510,3
20289,35026,44442,36786,14544,3
18905,36428,42286,45912,17058,3
15609,30284,38639,17809,6541,3
17057,31171,39884,18686,7496,3
20040,35225,46002,21235,8154,3
18707,35879,40970,13748,5208,3
18871,34418,45492,17896,7244,3
17960,32721,48735,22912,8341,3
22160,38506,47585,37099,15086,3
18040,30661,39717,13560,5682,3
25962,55348,66936,109844,41287,3
19880,39673,48406,12992,5315,3
19918,40453,47074,62248,22603,3
16830,26737,34684,21253,8339,3
24401,50314,65155,115928,42413,3
18188,34494,42333,16605,7036,3
26715,54515,61706,227439,82150,3
19665,37751,48372,50447,18309,3
19439,35128,47472,24512,9449,3
26715,54515,61706,227439,82150,3
16021,35153,44267,17137,5745,3
17403,29832,39665,12517,5135,3
24401,50314,65155,115928,42413,3
17403,29832,39665,12517,5135,3
19652,38413,48011,42580,16603,3
17376,32056,43407,22509,8296,3
16919,32089,39616,24403,9369,3
16939,27263,35422,8002,3393,3
19477,39479,46113,61796,23368,3
17212,29732,38913,7501,2722,3
17763,30980,44638,5319,2046,3
23045,39633,50137,18957,7883,3
15023,32697,40936,14148,4188,3
17376,32056,43407,22509,8296,3
24401,50314,65155,115928,42413,3
24401,50314,65155,115928,42413,3
27414,46013,58688,386106,153720,3
19286,41193,49541,33182,12231,3
19822,28680,39937,12774,5305,3
19918,40453,47074,62248,22603,3
27414,46013,58688,386106,153720,3
27414,46013,58688,386106,153720,3
27414,46013,58688,386106,153720,3
20718,37435,46952,41307,16596,3
27414,46013,58688,386106,153720,3
27414,46013,58688,386106,153720,3
19326,35522,41720,12266,5140,3
27414,46013,58688,386106,153720,3
16992,35535,41469,22014,7917,3
19761,35683,45612,21645,8656,3
19386,30409,39659,11418,4789,3
22047,42455,50840,10381,3903,3
26715,54515,61706,227439,82150,3
26715,54515,61706,227439,82150,3
26715,54515,61706,227439,82150,3
19366,31003,37119,25655,10046,3
19353,37140,48562,75782,28367,3
16838,28931,39681,8045,3269,3
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
27347,53684,68593,37422,14262,4
34057,75422,84765,3051771,995512,4
27730,55918,74687,202288,70347,4
18177,42591,47456,258707,75409,4
18177,42591,47456,258707,75409,4
18177,42591,47456,258707,75409,4
18177,42591,47456,258707,75409,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
32930,76544,86301,829017,267076,4
32930,76544,86301,829017,267076,4
32930,76544,86301,829017,267076,4
32930,76544,86301,829017,267076,4
32930,76544,86301,829017,267076,4
27730,55918,74687,202288,70347,4
34057,75422,84765,3051771,995512,4
20439,41924,49018,63241,23374,4
25943,48426,59152,54728,22025,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
34057,75422,84765,3051771,995512,4
17894,42708,45500,446644,131642,4
17894,42708,45500,446644,131642,4
17894,42708,45500,446644,131642,4
17894,42708,45500,446644,131642,4
22905,36890,47349,13638,5668,4
25914,66237,71425,56115,16995,4
27749,55909,62237,9893481,3230383,4
28046,61757,72237,14217,5268,4
27730,55918,74687,202288,70347,4
27730,55918,74687,202288,70347,4
25943,48426,59152,54728,22025,4
25943,48426,59152,54728,22025,4
34057,75422,84765,3051771,995512,4
35763,72112,88618,1535248,545071,4
17847,45625,50772,151435,42516,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
23306,43469,54459,87497,33878,4
23306,43469,54459,87497,33878,4
23306,43469,54459,87497,33878,4
23306,43469,54459,87497,33878,4
23306,43469,54459,87497,33878,4
35763,72112,88618,1535248,545071,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
19931,53107,65616,34018,9945,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
35763,72112,88618,1535248,545071,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
17847,45625,50772,151435,42516,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
25527,58636,76645,1165,394,4
34886,72725,87352,355924,132709,4
34886,72725,87352,355924,132709,4
34886,72725,87352,355924,132709,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34884,69297,85253,180982,67885,4
34795,70443,79700,137837,49431,4
34795,70443,79700,137837,49431,4
34795,70443,79700,137837,49431,4
