per capita income,median household income,median family income,population,number of households,state_nums
39521,82468,99768,282977,103234,13
39521,82468,99768,282977,103234,13
24269,48136,57459,27707,10904,13
22169,42627,52567,46053,18592,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
23032,40052,62959,139634,53914,13
21520,50821,59037,37799,12414,13
23032,40052,62959,139634,53914,13
23396,47401,56923,17257,6874,13
21527,43120,54074,131027,50637,13
21527,43120,54074,131027,50637,13
23032,40052,62959,139634,53914,13
19821,43510,55748,21321,7764,13
23032,40052,62959,139634,53914,13
21524,43795,52922,32449,12668,13
18576,38826,46454,19829,7688,13
21520,50821,59037,37799,12414,13
21474,46430,57826,26865,10230,13
24258,49329,61861,33514,13094,13
25589,54780,66988,42103,15890,13
21933,45709,57613,47057,17581,13
21370,41986,50107,28064,10631,13
23063,45884,54191,17108,6925,13
18576,38826,46454,19829,7688,13
21933,45709,57613,47057,17581,13
20854,37474,51591,117575,46325,13
25594,50262,57870,14151,5374,13
21933,45709,57613,47057,17581,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
21416,47165,56684,31928,11160,13
21933,45709,57613,47057,17581,13
23049,48711,57079,8823,3444,13
20934,47596,57732,19450,7411,13
24124,42334,52417,912242,360072,13
23509,44582,56861,266694,101947,13
20309,40679,51172,49275,18367,13
21201,45286,52204,32650,12703,13
20322,39225,45310,12665,5190,13
20504,39700,46628,10656,4237,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
20504,39700,46628,10656,4237,13
21192,40692,52203,108084,39597,13
20481,42898,48435,24035,8914,13
21114,38350,48417,68557,28185,13
20475,42023,53154,36624,13210,13
22235,43980,54728,33001,12894,13
21109,45693,53154,198662,70130,13
21201,45286,52204,32650,12703,13
24124,42334,52417,912242,360072,13
28669,62794,76004,165168,61502,13
28669,62794,76004,165168,61502,13
22235,43980,54728,33001,12894,13
18757,37391,46311,24112,9536,13
28575,61231,73059,141796,52239,13
28575,61231,73059,141796,52239,13
24124,42334,52417,912242,360072,13
21047,42119,53840,38266,14738,13
24124,42334,52417,912242,360072,13
24124,42334,52417,912242,360072,13
21109,45693,53154,198662,70130,13
22245,40680,50069,12780,5149,13
21109,45693,53154,198662,70130,13
28669,62794,76004,165168,61502,13
21226,40168,47724,20698,8221,13
23641,52991,64930,20960,7984,13
20516,39747,49685,69671,26981,13
23509,44582,56861,266694,101947,13
23509,44582,56861,266694,101947,13
20534,43870,52130,17210,5893,13
25443,50377,59539,6075,2422,13
20019,44143,48689,10534,4099,13
20109,44128,51657,28324,10632,13
22046,48047,54432,25939,9792,13
20160,46695,56345,34424,12127,13
23244,50510,59691,39213,14499,13
22059,47537,59022,28636,10761,13
23244,50510,59691,39213,14499,13
24071,43590,57615,82795,34544,13
25279,49370,60867,358324,138212,13
25279,49370,60867,358324,138212,13
25279,49370,60867,358324,138212,13
25093,52686,60757,15834,6622,13
25279,49370,60867,358324,138212,13
20516,39747,49685,69671,26981,13
25279,49370,60867,358324,138212,13
25279,49370,60867,358324,138212,13
21318,43950,51503,21467,8552,13
25279,49370,60867,358324,138212,13
24085,49516,63675,23042,8551,13
23666,51444,60995,24542,9541,13
25279,49370,60867,358324,138212,13
21889,47117,57363,47509,17722,13
24124,42334,52417,912242,360072,13
20516,39747,49685,69671,26981,13
24124,42334,52417,912242,360072,13
23509,44582,56861,266694,101947,13
25279,49370,60867,358324,138212,13
24124,42334,52417,912242,360072,13
25781,55354,63148,69217,25621,13
27185,53961,66670,75120,29087,13
27185,53961,66670,75120,29087,13
19236,40235,47376,21333,8179,13
29927,62351,72764,60163,22454,13
22852,47538,58674,111310,42690,13
22852,47538,58674,111310,42690,13
21554,48953,57960,33086,11745,13
21641,44764,53822,13253,5058,13
21592,40904,47682,25975,10429,13
27359,54165,64614,77930,30041,13
27359,54165,64614,77930,30041,13
27359,54165,64614,77930,30041,13
24312,50496,60754,111221,42502,13
25833,51568,59221,15128,5889,13
27359,54165,64614,77930,30041,13
21700,41940,50753,38802,14827,13
24378,43540,58352,180233,73963,13
22852,47538,58674,111310,42690,13
24531,50542,60427,20109,7995,13
27058,56946,70251,49975,18556,13
27058,56946,70251,49975,18556,13
22679,46797,53218,38215,14590,13
24881,50859,60725,77527,29705,13
24881,50859,60725,77527,29705,13
24297,57500,67259,33398,11924,13
25781,55354,63148,69217,25621,13
19773,40126,46205,23267,8964,13
24297,57500,67259,33398,11924,13
24613,51914,61149,33274,13094,13
22817,44740,55776,10269,4146,13
23691,44246,63086,175628,66667,13
23691,44246,63086,175628,66667,13
23691,44246,63086,175628,66667,13
23691,44246,63086,175628,66667,13
22827,47247,56561,42253,16032,13
27390,52317,61784,8464,3283,13
29927,62351,72764,60163,22454,13
21889,47117,57363,47509,17722,13
22601,46148,57067,37044,14138,13
24378,43540,58352,180233,73963,13
29830,68297,79943,148623,52946,13
29830,68297,79943,148623,52946,13
29830,68297,79943,148623,52946,13
29830,68297,79943,148623,52946,13
19356,47617,51922,37463,11833,13
22875,42524,50674,16098,6466,13
25833,51568,59221,15128,5889,13
24378,43540,58352,180233,73963,13
24459,51440,60234,44511,17171,13
22601,46148,57067,37044,14138,13
24378,43540,58352,180233,73963,13
29830,68297,79943,148623,52946,13
18845,36326,46275,8308,3106,14
28948,52735,70480,167080,67049,14
26624,56669,69676,25971,10079,14
25038,51425,60616,42798,16410,14
28948,52735,70480,167080,67049,14
25055,44663,60550,9352,3948,14
23324,44551,53353,5107,2074,14
26350,48093,61942,10227,4435,14
26387,48783,62273,12088,5083,14
22748,46548,57067,17205,6300,14
30442,59018,73043,438307,173164,14
25038,51425,60616,42798,16410,14
22687,46376,58504,20188,7493,14
26746,47897,62143,9776,4222,14
25062,53122,66694,21038,8042,14
22699,41425,51694,35469,14534,14
26102,48355,54625,10623,4358,14
24653,48659,63939,6335,2676,14
24117,51555,60501,40800,15350,14
26762,55041,64955,20637,8063,14
25038,51425,60616,42798,16410,14
18845,36326,46275,8308,3106,14
30442,59018,73043,438307,173164,14
22899,46951,58937,20350,7615,14
26330,48977,61634,12013,5354,14
22649,42469,55274,35736,14241,14
22649,42469,55274,35736,14241,14
26624,56669,69676,25971,10079,14
35844,73847,90092,69526,26262,14
25318,50349,66827,18804,7488,14
26254,51475,66046,94411,37366,14
25311,51670,60657,17661,6794,14
22649,42469,55274,35736,14241,14
26261,54076,68096,17665,7129,14
26624,56669,69676,25971,10079,14
25766,44484,55234,9952,4356,14
26254,51475,66046,94411,37366,14
30442,59018,73043,438307,173164,14
28948,52735,70480,167080,67049,14
23391,45542,60296,20822,8328,14
24117,51555,60501,40800,15350,14
27101,63076,75167,14983,5375,14
26624,56669,69676,25971,10079,14
25153,49342,64360,17453,7061,14
23793,43804,51701,6256,2764,14
25766,44484,55234,9952,4356,14
23269,45856,57202,102155,38654,14
28068,58008,73465,16323,6745,14
24590,43826,56004,16177,7007,14
24510,43589,58135,15486,6395,14
25074,47494,57348,17990,7707,14
25269,52026,63153,14909,6189,14
22210,45040,51772,8755,3115,14
25847,51304,63669,92962,36460,14
23496,43010,57784,15838,6415,14
24508,45997,56887,8010,3361,14
27291,44795,61804,43932,19967,14
26567,58088,66176,18452,7665,14
24324,57227,67067,34050,11623,14
24324,57227,67067,34050,11623,14
23788,47967,59173,22428,9073,14
25814,50105,60921,11243,4648,14
22127,40024,52447,6382,2589,14
31790,56136,64798,16818,7981,14
25869,43449,58470,7099,3182,14
28030,50609,62036,10843,4641,14
24493,46467,56474,19737,8479,14
22868,44281,53586,10625,4553,14
25827,45205,59070,13092,5367,14
28086,48185,63912,14249,6098,14
21599,39208,51142,12808,5534,14
24518,51078,66895,10739,4389,14
23472,43216,59972,9311,3672,14
24408,42451,53237,40301,16993,14
23683,52152,62459,11659,4425,14
24139,43971,55735,12379,5364,14
25153,49342,64360,17453,7061,14
30442,59018,73043,438307,173164,14
30442,59018,73043,438307,173164,14
24557,42025,57292,9208,3981,14
24547,45603,61599,10732,4591,14
28727,61216,75486,24387,9258,14
23707,45871,56552,3973,1745,14
21126,43288,55547,8840,3734,14
26459,54554,66967,21834,8948,14
27908,48601,63310,10141,4119,14
25986,50516,76860,90750,35196,14
25966,49559,63452,48896,20008,14
27149,51826,67769,26310,10574,14
30442,59018,73043,438307,173164,14
30442,59018,73043,438307,173164,14
29060,49035,64651,16604,7148,14
30442,59018,73043,438307,173164,14
30442,59018,73043,438307,173164,14
27942,58888,73086,24923,9867,14
22243,42167,54323,10428,4354,14
25986,50516,76860,90750,35196,14
26254,51475,66046,94411,37366,14
26184,54583,67468,14729,5996,14
24272,50583,57545,11348,4381,14
26205,45865,57150,9255,3969,14
27038,55553,69097,20954,8187,14
29943,57260,75761,213425,86052,14
29943,57260,75761,213425,86052,14
29943,57260,75761,213425,86052,14
29943,57260,75761,213425,86052,14
29943,57260,75761,213425,86052,14
29943,57260,75761,213425,86052,14
24926,48831,56269,14242,5862,14
29943,57260,75761,213425,86052,14
24905,50513,63418,36710,14826,14
25430,48361,64495,20732,8626,14
24273,45747,61495,131468,52276,14
25556,44073,56607,7243,3227,14
27685,57581,68812,15606,6092,14
25564,47892,60232,7588,3295,14
26187,50476,60159,7562,3197,14
23007,44838,55380,12547,5339,14
24273,45747,61495,131468,52276,14
24273,45747,61495,131468,52276,14
24273,45747,61495,131468,52276,14
24286,46429,55582,9560,3884,14
24286,46429,55582,9560,3884,14
30919,48313,61845,6002,2684,14
24286,46429,55582,9560,3884,14
29592,53424,79964,134034,54005,14
29592,53424,79964,134034,54005,14
31164,56827,70837,12416,5073,14
27593,48814,60989,16800,6919,14
21368,43181,54591,7517,3023,14
24905,50513,63418,36710,14826,14
29592,53424,79964,134034,54005,14
25556,44073,56607,7243,3227,14
26930,50520,61389,7291,2965,14
25448,43481,52403,13793,6081,14
25477,54723,69241,33318,12691,14
29127,51812,64283,15437,6728,14
25477,54723,69241,33318,12691,14
25448,43481,52403,13793,6081,14
25448,43481,52403,13793,6081,14
25477,54723,69241,33318,12691,14
24203,41624,57137,37626,15458,14
29088,62535,74558,46631,17378,14
29088,62535,74558,46631,17378,14
20467,38534,45688,9419,4022,15
38827,74717,92512,552947,216304,15
27329,56454,70484,65786,24270,15
27017,63435,77727,77002,26358,15
24510,43357,51953,2645,1076,15
38827,74717,92512,552947,216304,15
30223,48800,61940,3095,1340,15
38827,74717,92512,552947,216304,15
25800,44981,56250,27602,11491,15
25603,49865,63042,500768,192651,15
21408,46908,51712,35583,12532,15
24503,45233,57236,8500,3407,15
18957,39402,47025,158348,57291,15
38827,74717,92512,552947,216304,15
25603,49865,63042,500768,192651,15
22942,46029,63182,5640,2248,15
24291,43085,63712,28746,11824,15
27627,51793,66026,8516,3501,15
21775,36815,56346,2763,1149,15
21774,33839,47159,3278,1517,15
24199,54694,65417,7050,2693,15
22820,38313,48333,5951,2595,15
24714,46551,55114,2998,1269,15
26313,37925,49073,3846,1727,15
27154,39333,44243,2933,1482,15
22378,46607,51250,3182,1186,15
31694,53021,64886,1616,808,15
21712,46382,50948,2210,775,15
23068,45336,57196,10055,3914,15
22948,43962,63634,73243,25895,15
28412,58936,73528,32682,12334,15
25603,49865,63042,500768,192651,15
21046,39968,52456,9969,4104,15
21041,39375,55431,1905,791,15
26280,56875,67439,18971,7421,15
21629,47945,56111,36920,12515,15
22394,40916,49907,21369,8703,15
27462,54167,68039,29297,11540,15
18957,39402,47025,158348,57291,15
27462,54167,68039,29297,11540,15
26614,58396,66085,6078,2408,15
25114,52415,60125,4219,1411,15
23772,43059,55102,5573,2388,15
21519,41878,53091,36232,13867,15
21909,45212,56271,16839,6216,15
25262,44032,60625,10057,4345,15
23382,43798,54770,64319,25693,15
23382,43798,54770,64319,25693,15
28146,47500,59000,2604,1192,15
25429,47454,59038,1568,611,15
23382,43798,54770,64319,25693,15
19015,50185,52529,23146,7429,15
19015,50185,52529,23146,7429,15
19789,38981,51106,33624,13170,15
23775,50287,65591,34722,13287,15
22979,49543,58750,25870,9909,15
22972,47894,61676,23884,9110,15
25603,49865,63042,500768,192651,15
23768,42449,53029,5189,2349,15
25603,49865,63042,500768,192651,15
25603,49865,63042,500768,192651,15
18957,39402,47025,158348,57291,15
38827,74717,92512,552947,216304,15
38827,74717,92512,552947,216304,15
20552,40554,50344,13318,5505,15
20552,40554,50344,13318,5505,15
22139,41713,54962,8021,3308,15
19340,39591,50231,15004,5636,15
18957,39402,47025,158348,57291,15
27462,54167,68039,29297,11540,15
18957,39402,47025,158348,57291,15
25603,49865,63042,500768,192651,15
38827,74717,92512,552947,216304,15
30440,52375,67000,1946,821,15
21476,38634,46154,6063,2727,15
25603,49865,63042,500768,192651,15
25603,49865,63042,500768,192651,15
25385,41129,52083,2188,932,15
26274,50605,55938,4930,2121,15
20974,37378,50936,39182,15370,15
32650,52847,58875,1202,493,15
19994,51178,57380,34217,11103,15
23677,37875,53571,2708,1343,15
23095,45714,56090,2981,1232,15
22713,46512,57530,7905,3161,15
24950,54494,63438,5713,1936,15
26209,46035,60000,9730,4074,15
24683,37111,48132,6945,3317,15
24680,47445,57161,5869,2503,15
23686,40811,54167,3199,1414,15
22280,38346,53288,6582,2855,15
22280,38346,53288,6582,2855,15
22292,52264,60735,3956,1301,15
24789,50205,62512,16260,6558,15
21245,39529,45221,3614,1565,15
22820,38313,48333,5951,2595,15
26897,43482,55551,2545,1224,15
21332,39669,52583,34869,14000,15
22789,45865,58566,6454,2528,15
26370,53213,59306,7869,2793,15
26057,48451,63230,178378,72584,15
26057,48451,63230,178378,72584,15
26057,48451,63230,178378,72584,15
26057,48451,63230,178378,72584,15
23799,53018,54952,2231,877,15
26057,48451,63230,178378,72584,15
24175,42610,52727,3233,1529,15
26342,49508,70955,112210,43398,15
38827,74717,92512,552947,216304,15
26233,44866,51939,2835,1201,15
21990,51000,54093,4486,1714,15
22269,45830,57375,12491,4861,15
24117,54546,63807,13430,5273,15
25328,41765,59412,2775,1282,15
26911,46667,61486,6368,2804,15
19929,38917,48174,9269,3791,15
26342,49508,70955,112210,43398,15
24550,47122,61696,10149,4117,15
26903,48187,71777,7902,3120,15
23240,43292,56667,4391,1884,15
23232,44650,57647,2527,1065,15
22621,42515,55034,5763,2487,15
24935,47215,55970,55633,22173,15
23230,44078,56750,6971,2545,15
22269,45830,57375,12491,4861,15
26342,49508,70955,112210,43398,15
26841,48674,57244,2553,1099,15
19580,39746,51748,21361,7936,15
26229,45920,56048,4898,2187,15
21163,42071,49915,16477,6508,15
26342,49508,70955,112210,43398,15
21163,42071,49915,16477,6508,15
26342,49508,70955,112210,43398,15
24026,47466,58299,7860,3223,15
25531,39572,52944,4919,2274,15
26057,48451,63230,178378,72584,15
25537,57808,63875,6012,2066,15
20322,34089,43500,2782,1271,15
26342,49508,70955,112210,43398,15
26224,45519,52761,9580,4234,15
26811,45556,51914,3790,1726,15
23134,39884,51957,3061,1454,15
23895,48890,58884,19734,7845,15
24892,56854,71259,22009,7974,15
27039,57298,70044,42911,15469,16
21490,39677,56752,37383,14937,16
23853,44135,60772,115438,44240,16
22070,49718,57174,8818,3512,16
22035,44060,53746,36822,14465,16
21923,46016,53557,15425,6008,16
21490,39677,56752,37383,14937,16
21500,39049,47667,5064,2034,16
21490,39677,56752,37383,14937,16
25527,45629,53893,14289,5935,16
22686,51189,54461,8608,3361,16
20898,46756,50574,29028,10342,16
26243,46071,58556,49390,21058,16
20918,39196,55526,8472,3252,16
27802,61893,71455,48149,17989,16
23347,41137,48486,17452,6569,16
23122,45480,57357,14714,5357,16
22123,40112,55125,8394,3294,16
22132,40891,51596,46810,18495,16
27925,46959,61622,746580,305832,16
22381,43907,54460,31296,11963,16
21341,44652,55105,16896,6302,16
27925,46959,61622,746580,305832,16
21800,42312,54652,83976,31484,16
26945,54306,69837,90606,35203,16
27925,46959,61622,746580,305832,16
22249,41473,49654,28701,11100,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
23991,41009,60356,10807,4601,16
27704,54270,66229,160828,61800,16
27704,54270,66229,160828,61800,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
24530,40379,53328,49314,19530,16
27925,46959,61622,746580,305832,16
23853,44135,60772,115438,44240,16
27925,46959,61622,746580,305832,16
27925,46959,61622,746580,305832,16
23853,44135,60772,115438,44240,16
26666,65209,69980,17303,6230,16
22746,41940,54654,46303,18787,16
23853,44135,60772,115438,44240,16
23545,43833,54708,43905,16571,16
22893,40933,48310,19999,7865,16
24781,44588,56414,8282,3327,16
24161,52646,64806,21575,8323,16
24308,54836,62514,75250,27874,16
21424,36048,51177,18693,7179,16
24147,48687,58565,106211,39401,16
26945,54306,69837,90606,35203,16
24147,48687,58565,106211,39401,16
24147,48687,58565,106211,39401,16
26945,54306,69837,90606,35203,16
24138,45396,58533,21313,8745,16
24524,45853,57583,35608,14498,16
22963,46555,57866,97230,37677,16
26945,54306,69837,90606,35203,16
26945,54306,69837,90606,35203,16
21375,34261,48083,9283,3794,16
25957,44898,57709,65610,27037,16
21800,42312,54652,83976,31484,16
25637,49024,58733,49112,18012,16
20746,38394,50693,37329,14419,16
19795,40313,47075,9467,3569,16
19773,38904,45583,74169,25899,16
19773,38904,45583,74169,25899,16
19745,38873,51272,42504,16584,16
19745,38873,51272,42504,16584,16
19745,38873,51272,42504,16584,16
19745,38873,51272,42504,16584,16
19611,39753,50559,14149,5221,16
19829,46159,51866,24685,8334,16
19481,37646,47637,12148,4766,16
19445,34090,41981,23377,9154,16
19445,34090,41981,23377,9154,16
19441,39546,47303,17443,6737,16
19429,40160,46281,10902,4269,16
19351,32961,42210,64473,26362,16
19304,32495,45490,14435,5539,16
19292,34029,46549,4834,1983,16
15091,26228,31816,28409,11109,16
19464,39125,45143,15138,5586,16
19829,46159,51866,24685,8334,16
19829,46159,51866,24685,8334,16
19837,40845,48578,11774,4480,16
13611,19986,29973,4738,1721,16
20327,37127,48478,12946,5232,16
13969,22920,30036,7554,2951,16
14040,24246,33786,7784,2618,16
14157,22574,30407,7299,2779,16
14367,24038,32879,31865,12350,16
14706,24045,28825,13776,5290,16
20008,38105,44874,31427,11869,16
19984,38833,47436,9524,3770,16
19923,36570,43075,59178,22931,16
29235,67225,78101,121214,43255,16
29251,48398,67973,300843,123142,16
29251,48398,67973,300843,123142,16
29251,48398,67973,300843,123142,16
29251,48398,67973,300843,123142,16
29251,48398,67973,300843,123142,16
29277,57580,71995,24988,9698,16
29277,57580,71995,24988,9698,16
29277,57580,71995,24988,9698,16
15118,26877,34600,13179,4931,16
20337,41415,54448,13564,5150,16
15174,26839,39010,12582,4730,16
15603,29934,41516,16006,6050,16
18602,33582,39274,6650,2744,16
18448,33889,43684,16217,5892,16
17171,31750,40943,10043,3919,16
17273,33408,42359,18345,7115,16
17371,32524,45463,18696,7241,16
17420,33651,43121,24602,9692,16
18224,33528,40814,28488,10801,16
20746,38394,50693,37329,14419,16
18790,36384,46250,24585,9708,16
33591,83391,91587,60940,19532,16
18136,35430,45314,12746,5124,16
18101,38907,46870,20059,7213,16
17984,34406,44338,11252,4495,16
17960,33525,42182,15877,5823,16
17641,31786,49643,2254,884,16
17886,31200,44104,24202,9366,16
17697,31593,37620,6842,2604,16
17716,30476,37838,39448,15422,16
33591,83391,91587,60940,19532,16
17107,29721,37256,17636,7270,16
17094,35236,47044,23425,8305,16
16795,27100,31364,10210,3960,16
15880,26156,29749,13418,5712,16
15942,29108,33897,6334,2379,16
15960,29769,37441,35718,13172,16
16132,28388,40119,13859,5003,16
19204,36406,44210,27493,10319,16
16233,30658,41116,13657,4697,16
19143,36590,47378,26822,10912,16
16257,25906,33791,29012,11343,16
19115,32399,41216,25833,9897,16
19086,40008,49378,20123,8061,16
19020,43793,48984,8525,2995,16
19005,40830,44200,23955,8715,16
16367,30797,36823,11732,4447,16
16396,29497,36059,20797,8083,16
16424,29293,37796,11220,4206,16
16435,29184,36327,14601,5829,16
16513,30674,39404,16997,6605,16
16656,29808,39949,10874,4401,16
18865,38719,47360,19943,7368,16
15525,26261,31922,12835,4449,16
13542,21883,30085,21633,7317,16
17846,41541,51241,12505,4574,16
20667,34092,44363,63369,26108,16
20436,37312,45434,26762,10168,16
11818,20972,30543,18163,6312,16
20450,43081,48164,7085,2884,16
18023,31832,41022,33793,11967,17
19188,37388,45490,16217,6090,17
19970,36165,44627,10332,3767,17
25076,56811,66164,130192,46246,17
22164,42186,54589,52559,18756,17
22782,39385,47327,10083,3935,17
24114,49960,60417,111868,39279,17
18669,36835,45070,20816,7619,17
22126,40930,51092,132034,47606,17
22126,40930,51092,132034,47606,17
20633,35769,51206,46926,16877,17
22099,47225,54664,20111,6991,17
21720,61616,75613,15522,4007,17
18006,33942,40311,41765,15332,17
18006,33942,40311,41765,15332,17
22997,44262,51402,73551,26496,17
22997,44262,51402,73551,26496,17
26500,37146,46512,357013,148398,17
26500,37146,46512,357013,148398,17
26500,37146,46512,357013,148398,17
27429,53248,67961,119947,45776,17
27429,53248,67961,119947,45776,17
27429,53248,67961,119947,45776,17
24930,55443,63632,21916,7786,17
22997,44262,51402,73551,26496,17
17980,33848,44018,11540,4130,17
28901,51462,67061,224719,86504,17
28901,51462,67061,224719,86504,17
28901,51462,67061,224719,86504,17
18006,33942,40311,41765,15332,17
22229,35159,46816,24286,9175,17
27429,53248,67961,119947,45776,17
24114,49960,60417,111868,39279,17
21743,46116,55603,23268,8571,17
26756,58758,66392,52627,18547,17
16431,29022,38125,20652,7642,17
18958,31543,42271,14229,5668,17
21917,38955,50992,154641,57551,17
20802,33953,47936,39403,14903,17
19018,39654,47832,22113,7340,17
24355,43499,55484,193528,73726,17
19871,35071,44436,41039,15980,17
24355,43499,55484,193528,73726,17
27505,48506,63558,441901,167422,17
21396,46572,51718,52510,18148,17
27505,48506,63558,441901,167422,17
27505,48506,63558,441901,167422,17
27505,48506,63558,441901,167422,17
27505,48506,63558,441901,167422,17
24355,43499,55484,193528,73726,17
26500,37146,46512,357013,148398,17
24308,41053,52823,255551,98554,17
16683,28585,39570,27603,10482,17
26756,58758,66392,52627,18547,17
19910,37587,46159,61847,22527,17
21443,39346,46024,9028,3320,17
24838,50926,64567,24012,8820,17
16789,34322,45200,15129,5402,17
24798,50572,59941,96755,35072,17
24308,41053,52823,255551,98554,17
17752,31214,40147,20699,7704,17
24798,50572,59941,96755,35072,17
26908,48261,61131,433477,167251,17
26908,48261,61131,433477,167251,17
21335,50635,56540,45139,15440,17
26908,48261,61131,433477,167251,17
18857,38429,48306,25674,8099,17
24798,50572,59941,96755,35072,17
26500,37146,46512,357013,148398,17
28901,51462,67061,224719,86504,17
26500,37146,46512,357013,148398,17
13585,25498,33063,12049,4068,17
20316,41353,45087,38850,13714,17
17175,27543,35328,5105,2049,17
22481,42528,55587,14843,5619,17
21273,40654,53101,122665,44418,17
22509,46385,59364,35891,12948,17
28178,69070,77640,109920,38287,17
30363,60799,74834,236832,87518,17
26500,37146,46512,357013,148398,17
17512,32996,39539,16964,5726,17
12055,25321,30840,7674,2488,17
21177,45368,54191,33360,11192,17
30363,60799,74834,236832,87518,17
22589,44665,54061,58394,21765,17
23742,45363,59064,22736,8818,17
19457,33143,40590,11062,4130,17
21313,41571,48754,54078,20092,17
17735,31778,41963,46935,17599,17
26500,37146,46512,357013,148398,17
21547,39162,51734,26813,10270,17
19412,35828,48125,22576,8532,17
29559,64574,71310,6789,2529,17
21132,41622,51772,31498,11634,17
25748,55138,66800,23385,8615,17
21132,41622,51772,31498,11634,17
19387,35503,45574,83534,30935,17
22083,41626,50251,30660,12098,18
23895,43734,56155,153649,62608,18
21441,40674,49920,57657,22890,18
24442,44921,57444,107634,44006,18
28070,50181,59398,34297,14817,18
32880,57461,75432,283046,117359,18
32880,57461,75432,283046,117359,18
21441,40674,49920,57657,22890,18
24442,44921,57444,107634,44006,18
21566,37855,50779,71230,30597,18
21566,37855,50779,71230,30597,18
21441,40674,49920,57657,22890,18
32880,57461,75432,283046,117359,18
21566,37855,50779,71230,30597,18
22853,42221,52614,38819,16448,18
20807,37236,45117,32621,14209,18
32880,57461,75432,283046,117359,18
21441,40674,49920,57657,22890,18
21441,40674,49920,57657,22890,18
32880,57461,75432,283046,117359,18
22853,42221,52614,38819,16448,18
32880,57461,75432,283046,117359,18
27865,49755,60581,39694,16941,18
27865,49755,60581,39694,16941,18
27865,49755,60581,39694,16941,18
32880,57461,75432,283046,117359,18
32880,57461,75432,283046,117359,18
22853,42221,52614,38819,16448,18
22853,42221,52614,38819,16448,18
32880,57461,75432,283046,117359,18
24442,44921,57444,107634,44006,18
27797,47460,60022,54557,24355,18
21513,38642,50051,51942,21692,18
28829,56733,69561,35194,15022,18
28829,56733,69561,35194,15022,18
25770,46808,59915,121757,51719,18
27797,47460,60022,54557,24355,18
27797,47460,60022,54557,24355,18
27797,47460,60022,54557,24355,18
23895,43734,56155,153649,62608,18
23895,43734,56155,153649,62608,18
23895,43734,56155,153649,62608,18
27797,47460,60022,54557,24355,18
23895,43734,56155,153649,62608,18
27797,47460,60022,54557,24355,18
21818,36646,45917,17343,7769,18
27797,47460,60022,54557,24355,18
27797,47460,60022,54557,24355,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
22853,42221,52614,38819,16448,18
21513,38642,50051,51942,21692,18
23895,43734,56155,153649,62608,18
25770,46808,59915,121757,51719,18
25770,46808,59915,121757,51719,18
23895,43734,56155,153649,62608,18
21513,38642,50051,51942,21692,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
29125,57348,70642,198220,81293,18
24442,44921,57444,107634,44006,18
32880,57461,75432,283046,117359,18
49038,98221,117408,989474,360563,19
36917,84570,98259,236668,86337,19
24750,41385,50151,621445,241455,19
49038,98221,117408,989474,360563,19
40415,87430,101268,544426,199904,19
24750,41385,50151,621445,241455,19
49038,98221,117408,989474,360563,19
49038,98221,117408,989474,360563,19
25378,51092,59379,99683,36405,19
49038,98221,117408,989474,360563,19
25378,51092,59379,99683,36405,19
49038,98221,117408,989474,360563,19
49038,98221,117408,989474,360563,19
49038,98221,117408,989474,360563,19
40415,87430,101268,544426,199904,19
40415,87430,101268,544426,199904,19
40415,87430,101268,544426,199904,19
40415,87430,101268,544426,199904,19
40415,87430,101268,544426,199904,19
40415,87430,101268,544426,199904,19
24750,41385,50151,621445,241455,19
49038,98221,117408,989474,360563,19
24750,41385,50151,621445,241455,19
24750,41385,50151,621445,241455,19
24750,41385,50151,621445,241455,19
24750,41385,50151,621445,241455,19
24750,41385,50151,621445,241455,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
32344,73623,84808,873481,303441,19
36153,84790,100643,167261,59909,19
36153,84790,100643,167261,59909,19
36153,84790,100643,167261,59909,19
26388,46361,57893,32617,13386,19
37277,93160,104078,148957,51247,19
37277,93160,104078,148957,51247,19
37277,93160,104078,148957,51247,19
36917,84570,98259,236668,86337,19
36917,84570,98259,236668,86337,19
36917,84570,98259,236668,86337,19
36917,84570,98259,236668,86337,19
36917,84570,98259,236668,86337,19
36917,84570,98259,236668,86337,19
