County,State,per capita income,median household income,median family income,population,number of households,x,y,Has Market,state_nums
"IL, Ogle",Illinois,26635,54541,69172,53092,20745,-89.332329,42.014751,1.0,12
"IL, Cook",Illinois,30183,54548,66187,5212372,1933335,-87.680374,41.48423,1.0,12
"IL, Stephenson",Illinois,23350,43472,54367,47315,19408,-89.631012,42.274124,1.0,12
"IL, Jasper",Illinois,24174,52233,59406,9680,3904,0.0,0.0,0.0,12
"IL, Mason",Illinois,23199,42260,56188,14508,6310,0.0,0.0,0.0,12
"IL, Bond",Illinois,23195,48163,61238,17665,6373,0.0,0.0,0.0,12
"IL, McDonough",Illinois,20042,36031,54058,32549,12620,-90.671005,40.458904,1.0,12
"IL, Livingston",Illinois,24952,54614,64978,38687,14446,-88.426941,41.092873,1.0,12
"IL, Livingston",Illinois,24952,54614,64978,38687,14446,-88.62876899999998,40.880295,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.14117399999998,42.259987,1.0,12
"IL, White",Illinois,25375,42914,56110,14630,6240,0.0,0.0,0.0,12
"IL, Lee",Illinois,25409,50060,62194,35535,13504,-89.485275,41.841049,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.845474,42.279324,1.0,12
"IL, Ford",Illinois,25448,48866,60799,13991,5651,0.0,0.0,0.0,12
"IL, Jersey",Illinois,25467,53954,63789,22850,8752,-90.330643,39.11858400000001,1.0,12
"IL, Adams",Illinois,24217,45073,58992,67152,26912,-91.409172,39.932755,1.0,12
"IL, Adams",Illinois,24217,45073,58992,67152,26912,-91.358269,39.938915,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.978561,42.172615,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.781601,42.165001,1.0,12
"IL, Adams",Illinois,24217,45073,58992,67152,26912,-91.075302,40.0406,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.002525,42.270943,1.0,12
"IL, Alexander",Illinois,13619,26972,33977,7980,2860,0.0,0.0,0.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.95474200000002,42.287243,1.0,12
"IL, Clinton",Illinois,27802,61720,76109,37891,14051,-89.367813,38.610649,1.0,12
"IL, Lawrence",Illinois,14147,40145,48269,16702,4872,0.0,0.0,0.0,12
"IL, Stephenson",Illinois,23350,43472,54367,47315,19408,-89.823723,42.377903,1.0,12
"IL, Edgar",Illinois,23368,42133,51601,18339,7893,0.0,0.0,0.0,12
"IL, Crawford",Illinois,25214,46216,59235,19707,7731,-87.759499,39.002716,1.0,12
"IL, Edwards",Illinois,20898,39075,49290,6695,2728,0.0,0.0,0.0,12
"IL, Brown",Illinois,20555,42194,64292,6904,2105,-90.773102,39.987801,1.0,12
"IL, Tazewell",Illinois,28037,56067,68994,135747,54428,-89.462593,40.609032,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.21672099999998,37.727425,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.243408,37.730232,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.215523,37.728321,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.22863000000002,37.816441,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.24274399999999,37.728893,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.335785,37.764206,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.50473000000002,37.63002,1.0,12
"IL, Jackson",Illinois,20527,33479,52697,60055,23567,-89.187965,37.72633,1.0,12
"IL, Iroquois",Illinois,25098,47079,58930,29446,11892,-87.734413,40.776287,1.0,12
"IL, Menard",Illinois,28330,58190,73969,12687,5071,-89.849365,40.010983,1.0,12
"IL, Pope",Illinois,20448,38371,45551,4383,1736,0.0,0.0,0.0,12
"IL, Peoria",Illinois,28438,50712,65884,187117,75892,-89.588623,40.68856,1.0,12
"IL, Peoria",Illinois,28438,50712,65884,187117,75892,-89.610146,40.745056,1.0,12
"IL, Franklin",Illinois,20394,36273,48376,39470,16110,0.0,0.0,0.0,12
"IL, Grundy",Illinois,28725,64541,78918,50064,18082,-88.425186,41.35638400000001,1.0,12
"IL, Vermilion",Illinois,21225,41400,51986,81147,31575,-87.629936,40.13039000000001,1.0,12
"IL, Wabash",Illinois,24096,47365,61412,11848,4785,0.0,0.0,0.0,12
"IL, Stephenson",Illinois,23350,43472,54367,47315,19408,-89.668396,42.281906,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.183815,42.180695,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.04026,42.344326,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.178513,42.398071,1.0,12
"IL, Madison",Illinois,27407,53633,67064,268373,107238,-89.95008100000003,38.733162,1.0,12
"IL, Madison",Illinois,27407,53633,67064,268373,107238,-89.957314,38.812305,1.0,12
"IL, Champaign",Illinois,25713,45808,69554,202428,79137,-88.276901,40.114799,1.0,12
"IL, Perry",Illinois,19716,42078,53689,22182,7982,0.0,0.0,0.0,12
"IL, Cumberland",Illinois,22952,43958,54423,11015,4184,0.0,0.0,0.0,12
"IL, Gallatin",Illinois,23862,40330,53250,5516,2369,0.0,0.0,0.0,12
"IL, Clark",Illinois,24296,47405,55434,16284,6568,0.0,0.0,0.0,12
"IL, Sangamon",Illinois,29974,55449,71338,198269,82807,-89.650673,39.800659,1.0,12
"IL, Sangamon",Illinois,29974,55449,71338,198269,82807,-89.637077,39.834129,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.309776,41.914509,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.385757,41.901989,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.348511,41.95163,1.0,12
"IL, Ogle",Illinois,26635,54541,69172,53092,20745,-89.06945,41.929295,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.550552,41.764179,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.283272,42.035992,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.310448,41.849251,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.362122,41.764832,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.308685,41.762039,1.0,12
"IL, Cook",Illinois,30183,54548,66187,5212372,1933335,-87.684395,41.90287,1.0,12
"IL, Cook",Illinois,30183,54548,66187,5212372,1933335,-87.61569200000002,41.568497,1.0,12
"IL, Cook",Illinois,30183,54548,66187,5212372,1933335,-87.756752,42.026028,1.0,12
"IL, Madison",Illinois,27407,53633,67064,268373,107238,-89.679764,38.740101,1.0,12
"IL, Madison",Illinois,27407,53633,67064,268373,107238,-90.178093,38.888794,1.0,12
"IL, Champaign",Illinois,25713,45808,69554,202428,79137,-88.2388,40.118099,1.0,12
"IL, Champaign",Illinois,25713,45808,69554,202428,79137,-88.158936,40.310841,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.8489,42.167599,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.01786,42.274712,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.82515,42.449963,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-87.83943199999999,42.252342,1.0,12
"IL, Lake",Illinois,38018,77469,92116,702099,241072,-88.094566,42.478127,1.0,12
"IL, Montgomery",Illinois,19917,41952,54529,29878,11192,-89.49359100000002,39.16114,1.0,12
"IL, Christian",Illinois,23915,45145,56066,34651,14138,-89.295265,39.548447,1.0,12
"IL, Shelby",Illinois,23069,47188,56074,22266,8991,-88.75349399999998,39.522133,1.0,12
"IL, Pike",Illinois,21344,39845,49542,16337,6708,0.0,0.0,0.0,12
"IL, Logan",Illinois,21445,47133,62765,30177,10963,-89.385162,40.154182,1.0,12
"IL, Cook",Illinois,30183,54548,66187,5212372,1933335,-87.998184,41.675518,1.0,12
"IL, McLean",Illinois,30460,62089,83812,171240,64016,-88.994148,40.480007,1.0,12
"IL, Pulaski",Illinois,19867,33717,45764,6035,2419,0.0,0.0,0.0,12
"IL, Fayette",Illinois,21523,44722,52735,22088,8124,0.0,0.0,0.0,12
"IL, Jo Daviess",Illinois,29675,50817,63490,22602,9616,-90.315002,42.404758,1.0,12
"IL, Jo Daviess",Illinois,29675,50817,63490,22602,9616,-90.006783,42.348839,1.0,12
"IL, Jo Daviess",Illinois,29675,50817,63490,22602,9616,-90.01132199999998,42.357098,1.0,12
"IL, Jo Daviess",Illinois,29675,50817,63490,22602,9616,-90.227219,42.31789000000001,1.0,12
"IL, Jo Daviess",Illinois,29675,50817,63490,22602,9616,-90.640701,42.490799,1.0,12
"IL, LaSalle",Illinois,25709,52640,64693,113295,44257,0.0,0.0,0.0,12
"IL, Champaign",Illinois,25713,45808,69554,202428,79137,-88.205399,40.1096,1.0,12
"IL, Champaign",Illinois,25713,45808,69554,202428,79137,-88.243301,40.119057,1.0,12
"IL, Logan",Illinois,21445,47133,62765,30177,10963,-89.36161,40.14761,1.0,12
"IL, McLean",Illinois,30460,62089,83812,171240,64016,-88.872681,40.394485,1.0,12
"IL, Kane",Illinois,30082,69530,80085,518380,170358,-88.308655,41.889454,1.0,12
"IL, Kankakee",Illinois,23779,50102,61559,112991,41245,-87.66364300000002,41.16207100000001,1.0,12
"IL, Putnam",Illinois,27074,54196,68179,5927,2471,0.0,0.0,0.0,12
"IL, Washington County",Illinois,26325,52832,64959,14626,5882,0.0,0.0,0.0,12
"IL, Fulton",Illinois,22318,45130,56215,36829,14610,-90.195099,40.492599,1.0,12
"IL, Coles",Illinois,21970,37040,53465,53732,21046,-88.162239,39.490715,1.0,12
"IL, Randolph",Illinois,21976,47427,60224,33218,11889,0.0,0.0,0.0,12
"IL, Stark",Illinois,26843,54203,62993,5942,2416,0.0,0.0,0.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.709259,42.07748,1.0,12
"IL, Massac",Illinois,22047,43615,55256,15282,6053,0.0,0.0,0.0,12
"IL, Rock Island",Illinois,26455,48702,62123,147477,60456,-90.575035,41.50695,1.0,12
"IL, Macoupin",Illinois,24658,49590,60309,47462,19254,0.0,0.0,0.0,12
"IL, Rock Island",Illinois,26455,48702,62123,147477,60456,-90.487503,41.479801,1.0,12
"IL, Schuyler",Illinois,23656,48138,58547,7490,3056,0.0,0.0,0.0,12
"IL, Greene",Illinois,22307,43502,53680,13778,5790,-90.407631,39.299454,1.0,12
"IL, Greene",Illinois,22307,43502,53680,13778,5790,-87.800301,41.9053,1.0,12
"IL, DeKalb",Illinois,23696,53375,71343,104820,37844,-88.752151,41.931351,1.0,12
"IL, Clay",Illinois,22279,40640,52000,13744,5486,0.0,0.0,0.0,12
"IL, Hancock",Illinois,23714,43925,54700,18949,8101,-91.135033,40.412708,1.0,12
"IL, Henry",Illinois,27117,52940,64959,50260,20393,0.0,0.0,0.0,12
"IL, Knox",Illinois,22093,40667,52496,52545,21481,-90.223297,41.075653,1.0,12
"IL, Carroll",Illinois,27118,47985,56063,15199,6671,-89.978004,42.101295,1.0,12
"IL, Carroll",Illinois,27118,47985,56063,15199,6671,-89.832726,42.1022,1.0,12
"IL, Marshall",Illinois,25975,51504,62827,12454,5021,0.0,0.0,0.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.151466,41.887615,1.0,12
"IL, Richland",Illinois,23621,44070,57038,16213,6620,-88.08363299999998,38.731163,1.0,12
"IL, Cass",Illinois,22257,45734,53871,13530,5134,0.0,0.0,0.0,12
"IL, Union",Illinois,21719,41848,48879,17722,6852,0.0,0.0,0.0,12
"IL, Williamson",Illinois,23605,43125,54242,66606,26819,-89.095688,37.761631,1.0,12
"IL, Hardin",Illinois,22366,37071,46932,4273,1800,0.0,0.0,0.0,12
"IL, Williamson",Illinois,23605,43125,54242,66606,26819,-89.02750400000002,37.80621,1.0,12
"IL, St. Clair",Illinois,26234,50578,63373,268939,102885,-89.985588,38.513603,1.0,12
"IL, Warren",Illinois,21832,43536,53887,17762,6972,0.0,0.0,0.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.31121800000003,41.883766,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.928696,41.803654,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.020798,41.883774,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.008888,41.795246,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.95475,41.759415,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.941925,41.956081,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.247948,41.744076,1.0,12
"IL, Piatt",Illinois,31190,63027,73890,16620,6546,-89.203796,40.063999,1.0,12
"IL, Piatt",Illinois,31190,63027,73890,16620,6546,-88.5718,40.0261,1.0,12
"IL, Kendall",Illinois,31276,81765,91368,116366,38075,-88.351639,41.684727,1.0,12
"IL, Woodford",Illinois,30926,66639,78590,38903,14362,0.0,0.0,0.0,12
"IL, Marion",Illinois,21887,41010,52408,39070,15893,-90.902603,39.436886,1.0,12
"IL, Hamilton",Illinois,21960,38417,56202,8413,3512,0.0,0.0,0.0,12
"IL, Coles",Illinois,21970,37040,53465,53732,21046,-88.35878000000002,39.482716,1.0,12
"IL, Kankakee",Illinois,23779,50102,61559,112991,41245,-87.83528100000002,41.248795,1.0,12
"IL, Calhoun",Illinois,26924,50436,61464,5062,2061,0.0,0.0,0.0,12
"IL, Coles",Illinois,21970,37040,53465,53732,21046,-88.175201,39.494701,1.0,12
"IL, Wayne",Illinois,22526,43605,54060,16674,7063,0.0,0.0,0.0,12
"IL, Jefferson",Illinois,22620,42981,55188,38769,15288,0.0,0.0,0.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.07611800000002,41.799606,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.071297,41.981323,1.0,12
"IL, Macon",Illinois,26232,46559,59733,110262,45142,-88.8974,39.884899,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.978966,41.883335,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.202423,41.828419,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.900894,41.809761,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-87.975403,41.797695,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.106628,41.864178,1.0,12
"IL, Effingham",Illinois,27051,52108,64204,34274,13544,0.0,0.0,0.0,12
"IL, Whiteside",Illinois,24525,47667,58305,58150,23370,-89.964714,41.809437,1.0,12
"IL, DuPage",Illinois,38570,78487,95208,922803,336028,-88.159752,41.767593,1.0,12
"IL, Winnebago",Illinois,24495,47072,58536,293384,113449,-89.10009000000002,42.26357700000001,1.0,12
"IL, Williamson",Illinois,23605,43125,54242,66606,26819,-88.956924,37.72979,1.0,12
"IL, Scott",Illinois,24471,49669,61563,5288,2113,0.0,0.0,0.0,12
"IL, Mercer",Illinois,26620,53136,63831,16325,6716,-90.749084,41.200397,1.0,12
"IL, Henderson",Illinois,25902,49389,60066,7186,3202,0.0,0.0,0.0,12
"IL, Monroe",Illinois,31758,68482,81766,33181,12506,0.0,0.0,0.0,12
"IL, DeWitt",Illinois,26704,51051,64446,16511,6802,0.0,0.0,0.0,12
"IL, McHenry",Illinois,32341,76145,87760,308060,108852,-88.23877,42.208763,1.0,12
"IL, McHenry",Illinois,32341,76145,87760,308060,108852,-88.4105,42.167526,1.0,12
"IL, Saline",Illinois,21596,37800,47023,24950,10174,0.0,0.0,0.0,12
"IL, McHenry",Illinois,32341,76145,87760,308060,108852,-88.447678,42.314781,1.0,12
"IL, Boone",Illinois,25888,60893,67049,54068,17938,-88.861885,42.272038,1.0,12
"IL, McHenry",Illinois,32341,76145,87760,308060,108852,-88.317009,42.243752,1.0,12
"IL, Johnson",Illinois,18763,40760,50796,12665,4362,-88.88091999999997,37.459637,1.0,12
"IL, Whiteside",Illinois,24525,47667,58305,58150,23370,-89.697174,41.787254,1.0,12
"IL, Ogle",Illinois,26635,54541,69172,53092,20745,-89.33268699999998,42.01453400000001,1.0,12
"IL, Boone",Illinois,25888,60893,67049,54068,17938,-88.840401,42.2565,1.0,12
"IL, Winnebago",Illinois,24495,47072,58536,293384,113449,-89.09034,42.270329,1.0,12
"IL, Douglas",Illinois,23732,52741,65220,19902,7509,0.0,0.0,0.0,12
"IL, Bureau",Illinois,26705,48977,60525,34594,13998,-89.46479000000002,41.384159,1.0,12
"IL, Winnebago",Illinois,24495,47072,58536,293384,113449,-89.028801,42.285599,1.0,12
"IL, McHenry",Illinois,32341,76145,87760,308060,108852,-88.43158000000003,42.313229,1.0,12
"IN, Hancock",Indiana,28111,62981,72559,70466,26071,-85.756088,39.79213,1.0,13
"IN, Union",Indiana,20883,44161,57330,7420,2943,0.0,0.0,0.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.38209499999998,41.41656500000001,1.0,13
"IN, St. Joseph",Indiana,23509,44582,56861,266694,101947,-86.262703,41.688171,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.50572199999998,41.536804,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.26619699999998,41.598347,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.34485600000002,41.595882,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.421562,41.291409,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.258667,41.536907,1.0,13
"IN, Lake",Indiana,23918,49035,60080,494250,182080,-87.456238,41.555176,1.0,13
"IN, Jackson",Indiana,22568,46501,56297,42769,16713,-85.891449,38.95784,1.0,13
"IN, Orange",Indiana,18576,38826,46454,19829,7688,-86.468323,38.556168,1.0,13
"IN, Steuben",Indiana,23975,48080,56300,34190,13514,-84.998451,41.631966,1.0,13
"IN, Posey",Indiana,29187,58750,73319,25713,10050,-87.884277,37.934822,1.0,13
"IN, Posey",Indiana,29187,58750,73319,25713,10050,-87.788048,38.10487,1.0,13
"IN, Hancock",Indiana,28111,62981,72559,70466,26071,-85.846046,39.928814,1.0,13
"IN, Hamilton",Indiana,39521,82468,99768,282977,103234,-86.128151,40.04425,1.0,13
"IN, Hamilton",Indiana,39521,82468,99768,282977,103234,-86.016319,39.9575,1.0,13
"IN, Boone",Indiana,37482,67255,80907,58009,21908,-86.33779100000002,39.950363,1.0,13
"IN, Boone",Indiana,37482,67255,80907,58009,21908,-86.469048,40.04567,1.0,13
"IN, Hamilton",Indiana,39521,82468,99768,282977,103234,-86.01937099999998,40.048031,1.0,13
"IN, Hamilton",Indiana,39521,82468,99768,282977,103234,-86.130409,39.969429,1.0,13
"IN, Wells",Indiana,24269,48136,57459,27707,10904,-85.172112,40.743481,1.0,13
"IN, Lawrence",Indiana,22169,42627,52567,46053,18592,-86.48397800000002,38.861549,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.137726,39.781727,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.078201,39.777599,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.17400400000002,39.879688,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.20002,39.820816,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.035248,39.897041,1.0,13
"IN, Monroe",Indiana,23032,40052,62959,139634,53914,-86.53694200000002,39.170307,1.0,13
"IN, Putnam",Indiana,21520,50821,59037,37799,12414,-86.817696,39.762234,1.0,13
"IN, Monroe",Indiana,23032,40052,62959,139634,53914,-86.521675,39.16153,1.0,13
"IN, Rush",Indiana,23396,47401,56923,17257,6874,-85.445145,39.605347,1.0,13
"IN, Madison",Indiana,21527,43120,54074,131027,50637,-85.618729,39.97802,1.0,13
"IN, Madison",Indiana,21527,43120,54074,131027,50637,-85.66912099999998,40.111061,1.0,13
"IN, Monroe",Indiana,23032,40052,62959,139634,53914,-86.638779,39.231789,1.0,13
"IN, Sullivan",Indiana,19821,43510,55748,21321,7764,0.0,0.0,0.0,13
"IN, Monroe",Indiana,23032,40052,62959,139634,53914,-86.53788,39.167686,1.0,13
"IN, Jefferson",Indiana,21524,43795,52922,32449,12668,-85.38297299999998,38.738243,1.0,13
"IN, Orange",Indiana,18576,38826,46454,19829,7688,-86.468323,38.556168,1.0,13
"IN, Putnam",Indiana,21520,50821,59037,37799,12414,-86.864548,39.644176,1.0,13
"IN, Clay",Indiana,21474,46430,57826,26865,10230,0.0,0.0,0.0,13
"IN, Gibson",Indiana,24258,49329,61861,33514,13094,0.0,0.0,0.0,13
"IN, Dubois",Indiana,25589,54780,66988,42103,15890,-86.95513199999998,38.29863,1.0,13
"IN, Marshall",Indiana,21933,45709,57613,47057,17581,-86.147568,41.446465,1.0,13
"IN, Washington County",Indiana,21370,41986,50107,28064,10631,0.0,0.0,0.0,13
"IN, Fountain",Indiana,23063,45884,54191,17108,6925,0.0,0.0,0.0,13
"IN, Orange",Indiana,18576,38826,46454,19829,7688,-86.621048,38.549511,1.0,13
"IN, Marshall",Indiana,21933,45709,57613,47057,17581,-86.30764,41.340649,1.0,13
"IN, Delaware County",Indiana,20854,37474,51591,117575,46325,0.0,0.0,0.0,13
"IN, Newton",Indiana,25594,50262,57870,14151,5374,0.0,0.0,0.0,13
"IN, Marshall",Indiana,21933,45709,57613,47057,17581,-86.422905,41.216816,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-85.98964699999998,39.865955,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.14183,39.73111,1.0,13
"IN, Daviess",Indiana,21416,47165,56684,31928,11160,0.0,0.0,0.0,13
"IN, Marshall",Indiana,21933,45709,57613,47057,17581,-86.419304,41.218494,1.0,13
"IN, Benton",Indiana,23049,48711,57079,8823,3444,0.0,0.0,0.0,13
"IN, Perry",Indiana,20934,47596,57732,19450,7411,-86.768997,37.951698,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.27499399999998,39.894466,1.0,13
"IN, St. Joseph",Indiana,23509,44582,56861,266694,101947,-86.242882,41.676762,1.0,13
"IN, Henry",Indiana,20309,40679,51172,49275,18367,0.0,0.0,0.0,13
"IN, Wabash",Indiana,21201,45286,52204,32650,12703,-85.824318,40.796417,1.0,13
"IN, Blackford",Indiana,20322,39225,45310,12665,5190,0.0,0.0,0.0,13
"IN, Crawford",Indiana,20504,39700,46628,10656,4237,-86.44319899999998,38.351101,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.157547,39.825558,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.138451,39.781708,1.0,13
"IN, Crawford",Indiana,20504,39700,46628,10656,4237,-86.443176,38.352161,1.0,13
"IN, Vigo",Indiana,21192,40692,52203,108084,39597,-87.376068,39.464146,1.0,13
"IN, Scott",Indiana,20481,42898,48435,24035,8914,-85.77131700000002,38.686569,1.0,13
"IN, Wayne",Indiana,21114,38350,48417,68557,28185,-84.893387,39.829937,1.0,13
"IN, Miami",Indiana,20475,42023,53154,36624,13210,-86.069519,40.75523,1.0,13
"IN, Greene",Indiana,22235,43980,54728,33001,12894,-87.149101,39.039326,1.0,13
"IN, Elkhart",Indiana,21109,45693,53154,198662,70130,-85.968498,41.690102,1.0,13
"IN, Wabash",Indiana,21201,45286,52204,32650,12703,-85.76384,40.999378,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.153503,39.768822,1.0,13
"IN, Porter",Indiana,28669,62794,76004,165168,61502,-87.17139399999998,41.577579,1.0,13
"IN, Porter",Indiana,28669,62794,76004,165168,61502,-87.062271,41.467171,1.0,13
"IN, Greene",Indiana,22235,43980,54728,33001,12894,-86.937935,39.026226,1.0,13
"IN, Fayette",Indiana,18757,37391,46311,24112,9536,-85.13974,39.641132,1.0,13
"IN, Johnson",Indiana,28575,61231,73059,141796,52239,-86.05767800000002,39.479797,1.0,13
"IN, Johnson",Indiana,28575,61231,73059,141796,52239,-86.111725,39.62200900000001,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.324646,39.816826,1.0,13
"IN, Knox",Indiana,21047,42119,53840,38266,14738,-87.531357,38.680611,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.211861,39.885357,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-85.96144100000002,39.775951,1.0,13
"IN, Elkhart",Indiana,21109,45693,53154,198662,70130,-85.967529,41.709015,1.0,13
"IN, Pike",Indiana,22245,40680,50069,12780,5149,-87.274925,38.490032,1.0,13
"IN, Elkhart",Indiana,21109,45693,53154,198662,70130,-85.837357,41.584881,1.0,13
"IN, Porter",Indiana,28669,62794,76004,165168,61502,-87.053596,41.610802,1.0,13
"IN, Fulton",Indiana,21226,40168,47724,20698,8221,-86.215836,41.064766,1.0,13
"IN, Spencer",Indiana,23641,52991,64930,20960,7984,0.0,0.0,0.0,13
"IN, Grant",Indiana,20516,39747,49685,69671,26981,-85.67609399999998,40.546436,1.0,13
"IN, St. Joseph",Indiana,23509,44582,56861,266694,101947,-86.358727,41.65515900000001,1.0,13
"IN, St. Joseph",Indiana,23509,44582,56861,266694,101947,-86.110199,41.753532,1.0,13
"IN, Parke",Indiana,20534,43870,52130,17210,5893,0.0,0.0,0.0,13
"IN, Ohio County",Indiana,25443,50377,59539,6075,2422,0.0,0.0,0.0,13
"IN, Switzerland",Indiana,20019,44143,48689,10534,4099,-84.958916,38.786625,1.0,13
"IN, Jennings",Indiana,20109,44128,51657,28324,10632,0.0,0.0,0.0,13
"IN, Decatur",Indiana,22046,48047,54432,25939,9792,-85.48349,39.336926,1.0,13
"IN, Adams",Indiana,20160,46695,56345,34424,12127,-84.920067,40.832291,1.0,13
"IN, Harrison",Indiana,23244,50510,59691,39213,14499,-86.129082,38.22237,1.0,13
"IN, Ripley",Indiana,22059,47537,59022,28636,10761,-85.250298,39.07233,1.0,13
"IN, Harrison",Indiana,23244,50510,59691,39213,14499,-86.123779,38.209747,1.0,13
"IN, Howard",Indiana,24071,43590,57615,82795,34544,-86.133522,40.488464,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.136154,41.078388,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.140411,41.074493,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.20118000000002,41.03593400000001,1.0,13
"IN, Tipton",Indiana,25093,52686,60757,15834,6622,0.0,0.0,0.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.1679,41.078701,1.0,13
"IN, Grant",Indiana,20516,39747,49685,69671,26981,-85.59850300000002,40.489811,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.016708,41.068935,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.152679,41.17564,1.0,13
"IN, Owen",Indiana,21318,43950,51503,21467,8552,-86.768539,39.287151,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.129738,41.054813,1.0,13
"IN, Franklin",Indiana,24085,49516,63675,23042,8551,-85.011765,39.41449,1.0,13
"IN, White",Indiana,23666,51444,60995,24542,9541,-86.762512,40.745232,1.0,13
"IN, Allen",Indiana,25279,49370,60867,358324,138212,-85.007584,41.229218,1.0,13
"IN, Noble",Indiana,21889,47117,57363,47509,17722,-85.26553299999998,41.443153,1.0,13
"IN, Marion",Indiana,24124,42334,52417,912242,360072,-86.165382,39.768688,1.0,13
